,number,pokemon_name,pic_url,main_type,secondary_type,region,category,pokemon_family,attack,defense,stamina,flee_rate,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks,CP_Min,CP_Max,HP_Min,HP_Max,Porcentagem_masculino,Porcentagem_feminino,Tx_captura,Fire_weakness,Flying_weakness,Ice_weakness,Psychic_weakness,Ground_weakness,Rock_weakness,Water_weakness,Electric_weakness,Grass_weakness,Fighting_weakness,Poison_weakness,Steel_weakness,Bug_weakness,Fairy_weakness,Dark_weakness,Ghost_weakness,Dragon_weakness,0_weakness,Electric_resistance,Fairy_resistance,Fighting_resistance,Water_resistance,Grass_resistance,Bug_resistance,Fire_resistance,Ice_resistance,Steel_resistance,Ground_resistance,Poison_resistance,Ghost_resistance,Flying_resistance,Rock_resistance,Dark_resistance,Dragon_resistance,Psychic_resistance,Normal_resistance,0_resistance
0,1,Bulbasaur,https://static.wikia.nocookie.net/pokemongo/images/4/43/Bulbasaur.png,Grass,Poison,Kanto,Seed,Bulbasaur family,118,111,128,10%,Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","['Tackle', 'Vine Whip', 'Power Whip', 'Seed Bomb', 'Sludge Bomb']",1115,1115,12,113,87.5,12.5,20.0,-160.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,62.5,62.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,Ivysaur,https://static.wikia.nocookie.net/pokemongo/images/8/86/Ivysaur.png,Grass,Poison,Kanto,Seed,Bulbasaur family,151,143,155,7%,Yes ,No,Formerly  (1st tier level),No,Yes,Yes,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","['Razor Leaf', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Solar Beam']",1699,1699,14,134,87.5,12.5,10.0,-160.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,62.5,62.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,Venusaur,https://static.wikia.nocookie.net/pokemongo/images/b/be/Venusaur.png,Grass,Poison,Kanto,Seed,Bulbasaur family,198,189,190,5%,Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"Standard Pokédex description
There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.","['Razor Leaf', 'Vine Whip', 'Petal Blizzard', 'Sludge Bomb', 'Solar Beam', 'Frenzy Plant']",2720,2720,17,162,87.5,12.5,5.0,-160.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,62.5,62.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,Charmander,https://static.wikia.nocookie.net/pokemongo/images/5/56/Charmander.png,Fire,0,Kanto,Lizard,Charmander family,116,93,118,10%,Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","['Ember', 'Scratch', 'Flame Burst', 'Flame Charge', 'Flamethrower']",980,980,11,105,87.5,12.5,20.0,0.0,0.0,0.0,0.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,Charmeleon,https://static.wikia.nocookie.net/pokemongo/images/f/fb/Charmeleon.png,Fire,0,Kanto,Flame,Charmander family,158,126,151,7%,Yes ,No,Formerly  (2nd tier level),Formerly ,Yes,Yes,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","['Ember', 'Fire Fang', 'Scratch', 'Fire Punch', 'Flame Burst', 'Flamethrower']",1653,1653,14,131,87.5,12.5,10.0,0.0,0.0,0.0,0.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,Charizard,https://static.wikia.nocookie.net/pokemongo/images/9/95/Charizard.png,Fire,Flying,Kanto,Flame,Charmander family,223,173,186,5%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","['Air Slash', 'Fire Spin', 'Dragon Breath', 'Ember', 'Wing Attack', 'Dragon Claw', 'Fire Blast', 'Overheat', 'Blast Burn', 'Flamethrower']",2889,2889,17,158,87.5,12.5,5.0,0.0,0.0,0.0,0.0,0.0,-256.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,39.0,39.0,62.5,0.0,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,Squirtle,https://static.wikia.nocookie.net/pokemongo/images/e/e3/Squirtle.png,Water,0,Kanto,Tiny,Squirtle family,94,121,127,10%,Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","['Bubble', 'Tackle', 'Aqua Jet', 'Aqua Tail', 'Water Pulse']",946,946,11,112,87.5,12.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,Wartortle,https://static.wikia.nocookie.net/pokemongo/images/d/d7/Wartortle.png,Water,0,Kanto,Turtle,Squirtle family,126,155,153,7%,Yes ,No,Formerly  (2nd tier level),No,Yes,Yes,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","['Bite', 'Water Gun', 'Aqua Jet', 'Hydro Pump', 'Ice Beam']",1488,1488,14,132,87.5,12.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,Blastoise,https://static.wikia.nocookie.net/pokemongo/images/4/41/Blastoise.png,Water,0,Kanto,Shellfish,Squirtle family,171,207,188,5%,Yes ,No,Formerly  (4th tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.","['Bite', 'Water Gun', 'Flash Cannon', 'Hydro Pump', 'Ice Beam', 'Skull Bash', 'Hydro Cannon']",2466,2466,17,160,87.5,12.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,Caterpie,https://static.wikia.nocookie.net/pokemongo/images/0/05/Caterpie.png,Bug,0,Kanto,Worm,Caterpie family,55,55,128,20%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","['Bug Bite', 'Tackle', 'Struggle']",437,437,12,113,50.0,50.0,50.0,-160.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
